Hour,DayOfWeek,Month,DayOfYear,Average_Temperature_C,netload
21,2,9,253,27.8,17.404029283549395
22,2,9,253,27.1,44.0533937679567
23,2,9,253,27.2,110.98478626231082
0,3,9,254,27.4,385.293917700197
1,3,9,254,27.0,452.7346877203812
2,3,9,254,26.8,428.0874300877739
3,3,9,254,26.8,456.2831654189593
4,3,9,254,27.0,170.3706276245202
5,3,9,254,26.4,449.84907183338447
6,3,9,254,26.5,457.8048632972338
7,3,9,254,26.3,456.453361502221
8,3,9,254,27.4,435.58327817347157
9,3,9,254,28.0,229.74720425619688
10,3,9,254,29.4,122.98999189067281
11,3,9,254,29.9,49.105678389447704
12,3,9,254,30.0,39.80151546064368
13,3,9,254,30.1,35.33026205911243
14,3,9,254,29.9,37.263023596918394
15,3,9,254,30.3,39.06280744020279
16,3,9,254,29.4,35.40795803254314
17,3,9,254,28.4,29.936826426627967
18,3,9,254,28.0,16.670861589781076
19,3,9,254,26.9,15.814716636674971
20,3,9,254,27.1,15.478646181120114
21,3,9,254,26.1,16.61438376756759
22,3,9,254,26.4,45.36776372964843
23,3,9,254,25.6,96.22252969352296
0,4,9,255,25.4,367.6780569347351
1,4,9,255,25.1,429.76404196741055
2,4,9,255,25.2,457.185354932538
3,4,9,255,25.1,473.0696596727003
4,4,9,255,26.2,154.80346622716127
5,4,9,255,23.9,449.0474837786226
6,4,9,255,23.0,455.87034935300704
7,4,9,255,24.0,431.99876832100847
8,4,9,255,25.6,436.3829655877877
9,4,9,255,27.3,233.2737959881033
10,4,9,255,28.7,139.52468269822432
11,4,9,255,29.5,59.60251677458602
12,4,9,255,29.2,53.36257310997913
13,4,9,255,29.8,41.73314672768977
14,4,9,255,29.4,41.73038647802266
15,4,9,255,28.2,42.07036024994918
16,4,9,255,27.6,40.46932817623744
17,4,9,255,27.2,37.94633843838572
18,4,9,255,26.2,17.825045410996015
19,4,9,255,25.5,15.565123813740742
20,4,9,255,25.0,15.312399871924839
21,4,9,255,24.8,16.26133559779612
22,4,9,255,24.5,15.110121694694925
23,4,9,255,24.2,22.82462328753146
0,5,9,256,24.1,95.19428030455501
1,5,9,256,24.3,96.60889436695834
2,5,9,256,24.4,101.17846886091561
3,5,9,256,24.2,115.4581170616016
4,5,9,256,24.1,47.36531322939457
5,5,9,256,24.2,97.1699750058086
6,5,9,256,24.3,103.75959389538988
7,5,9,256,24.7,94.24660145411659
8,5,9,256,25.5,90.33110382729818
9,5,9,256,26.1,21.740749017335993
10,5,9,256,28.9,15.616730190517506
11,5,9,256,26.9,15.399361881751192
12,5,9,256,28.1,14.700678081227098
13,5,9,256,28.0,16.646590032244465
14,5,9,256,27.4,16.506422420700215
15,5,9,256,27.0,15.310441366802195
16,5,9,256,26.3,14.572577776184973
17,5,9,256,26.8,14.929135083543589
18,5,9,256,26.5,14.061151273438883
19,5,9,256,26.6,14.494889525898996
20,5,9,256,26.5,14.885665838690757
21,5,9,256,26.3,14.508518799563758
22,5,9,256,26.1,14.060596665104054
23,5,9,256,26.0,13.806025978168469
0,6,9,257,25.8,14.15054115342925
1,6,9,257,25.6,14.126827018774858
2,6,9,257,25.4,14.634920949777257
3,6,9,257,25.2,15.13221350209138
4,6,9,257,25.1,15.600450039841752
5,6,9,257,24.9,15.922246820758899
6,6,9,257,24.9,15.934058157026884
7,6,9,257,25.5,16.772478822926146
8,6,9,257,26.4,19.22673581822957
9,6,9,257,27.8,21.522439547094322
10,6,9,257,29.1,19.116796902461363
11,6,9,257,29.0,17.896631576151904
12,6,9,257,29.5,17.64344007522489
13,6,9,257,30.4,17.66496014508084
14,6,9,257,29.8,16.86911260709891
15,6,9,257,31.1,15.957622212390165
16,6,9,257,30.8,14.78179442217411
17,6,9,257,30.2,15.363874921921427
