244.7,252,238.4,14.9,14.8,15,10.99,0.04,1,59.9,0.1,1,29.9,0
240.9,243.4,237.5,8,8,8,5.78,0.01,1,29.9,0.1,1,39.9,0
248.2,250.6,240,10.7,10.7,10.8,8.06,0.03,1,39.9,0.1,1,10,0
241.7,245.7,237.6,2.3,2.3,2.3,1.59,0,1,10,0.1,1,20,0
236,244.4,236.8,5.1,5.1,5.1,3.74,0,1,20,0.1,1,30,0
246.5,251.5,236.8,8.2,8.2,8.3,6.02,0.01,1,30.1,0.1,1,10,0
242.4,245.6,237.7,11.9,11.9,12,8.67,164628.98,1,80,0.1,1,90,0
250.4,254.4,241.6,20.3,20.2,20.4,15.22,0.05,1,90,0.1,1,60,0
249.2,251.8,242.9,18.2,18.2,18.4,13.66,0.04,1,90.1,0.1,1,60.1,0
239.8,246.3,238.6,10.8,10.7,10.8,7.87,0.03,1,69.9,0.1,1,94.9,0
233.6,234.5,230.6,4.9,4.9,4.9,3.43,0.01,1,94.9,0.1,1,100,0
234.4,240,233,8.4,8.4,8.5,5.96,0.01,1,99.9,0.1,1,100,0
247.1,250.4,244,16.4,16.4,16.5,12.21,0.04,1,100,0.1,1,70,0
238.4,243.2,241.6,11.3,11.2,11.3,8.16,0.03,1,70,0.1,1,95,0
235.2,239.2,232.8,6.2,6.2,6.2,4.35,0.01,1,99.9,0.1,1,100,0
228.8,230.4,228.8,2.1,2.1,2.1,1.45,0,1,100,0.1,1,100,0
225.3,231.2,229.1,1.7,1.6,1.7,1.17,0,1,99.9,0.1,1,100,0
224,229.6,228.8,1.4,1.3,1.3,0.96,-0.01,1,100,0.1,1,100,0
226.3,230.4,228.9,2.3,2.3,2.4,1.63,0,1,99.9,0.1,1,100,0
1696.5,2108.1,1950.1,232.1,233.6,229.7,2.96,0,1,99.9,0.1,1,69.9,0
232.8,236.8,232.8,5.1,5.1,5.2,3.61,0.01,1,70,0.1,1,95,0
0,0,0,3.6,3.6,3.6,2.49,0,1,95.1,0.1,1,100,0
223.2,229.6,228.8,1,1,1,0.71,0,1,99.9,0.1,1,100,0
0,0,0,223.1,232.9,230.4,3.13,0,1,99.9,0.1,1,100,0
228,235.2,227.2,2.3,2.3,2.4,1.66,0,1,99.9,0.1,1,100,0
228.8,235.2,228.2,4.2,4.2,4.3,2.96,155191.55,1,100,0.1,1,100,0
224.8,230.7,229.5,1.5,1.4,1.4,1.03,0,1,100,0.1,1,100,0
224,230.4,226.8,1.2,1.2,1.2,0.83,-0.01,1,99.9,0.1,1,100,0
219.2,225.6,228.4,1.5,1.5,1.5,1.05,0,1,100,0.1,1,100,0
0,0,0,217.8,231.1,225.6,0.78,0,1,100,0.1,1,100,0
221.4,231.8666667,225.9,0.833333333,0.766666667,0.833333333,0.583333333,-0.006666667,1,99.96666667,0.1,1,99.96666667,0
157.4571429,164.5714286,158.4285714,62.65714286,65.65714286,64.48571429,0.487142857,-0.004285714,1,99.92857143,0.1,1,99.92857143,0
186.5285714,196.7714286,196.5714286,31.07142857,32.9,33.24285714,0.198571429,0,1,99.95714286,0.1,1,99.95714286,0
197.7333333,205.8222222,200.6222222,24.45555556,25.86666667,26.14444444,0.362222222,-0.002222222,1,99.93333333,0.1,1,99.93333333,0
223.7285714,232.9142857,224.8571429,0.742857143,0.714285714,0.771428571,0.541428571,-0.002857143,1,99.94285714,0.1,1,99.94285714,0
223.0428571,233.5428571,225.0857143,0.771428571,0.728571429,0.728571429,0.55,0,1,99.94285714,0.1,1,99.94285714,0
184.5833333,194.3666667,188.2333333,37.15,38.45,37.26666667,0.195,-0.001666667,1,99.91666667,0.1,1,99.91666667,0
224.5714286,233.8285714,229.7142857,0.014285714,0.014285714,0.014285714,0.021428571,-0.002857143,0.665714286,99.91428571,0.1,1,99.91428571,0
227.28,233.76,228.32,0,0,0,0,0,0,99.96,0.1,1,99.96,0
230,232.8,226.4,0,0,0,0,0,0,100,0.1,1,100,0
230,232.8,226.4,0,0,0,0,0,0,100,0.1,1,100,0
228.16,235.84,228.16,0,0,0,0,0,0,100,0.1,1,100,0
114.9333333,117.8666667,113.0666667,115.2,117.6,113.2,0,25668.64833,0,100,0.1,1,100,0
225.6,233.76,227.56,0,0,0,0,30618.876,0,100,0.1,1,100,0
220.64,229.28,221.92,0.04,0.04,0.04,0.058,-0.01,1,99.94,0.1,1,99.94,0
217.6,226.8,224.3714286,0.271428571,0.242857143,0.242857143,0.211428571,-0.002857143,1,99.97142857,0.1,1,99.97142857,0
219.3142857,227.7714286,220.5714286,0.542857143,0.542857143,0.542857143,0.398571429,42393.04429,1,99.97142857,0.1,1,99.97142857,0
